What is the average central corneal thickness? ||| About 540 micrometers
Quick question: through which structure do tears drain into the nose? ||| The nasolacrimal duct into the inferior meatus
Exam prep: through which structure do tears drain into the nose? ||| The nasolacrimal duct into the inferior meatus
Through which structure do tears drain into the nose? (A) transmissibility (B) lateral geniculate (C) The nasolacrimal duct into the inferior meatus (D) zonular ||| C
Through which structure do tears drain into the nose? (A) Randot (B) five (C) 20/20 (D) The nasolacrimal duct into the inferior meatus ||| D
True or false: Tears drain through the nasolacrimal duct into the inferior meatus. ||| true
True or false: Tears drain through the canal of Schlemm into the inferior meatus. ||| false
Fill in the blank: Tears drain through the ____ into the inferior meatus. ||| nasolacrimal duct
What is the normal blink rate? ||| About 15 to 20 blinks per minute
Quick question: what is the normal blink rate? ||| About 15 to 20 blinks per minute
Exam prep: what is the normal blink rate? ||| About 15 to 20 blinks per minute
What is the normal blink rate? (A) About 15 to 20 blinks per minute (B) 6.5 (C) Fatigable (D) Tamsulosin ||| A
What is the normal blink rate? (A) Office based (B) About 15 to 20 blinks per minute (C) Trantas (D) Scleritis ||| B
True or false: The normal blink rate is about 15 to 20 blinks per minute. ||| true
True or false: The normal blink rate is about Adie blinks per minute. ||| false
Fill in the blank: The normal blink rate is about ____ blinks per minute. ||| 15 to 20
Which iris muscle constricts the pupil? ||| The iris sphincter muscle
Quick question: which iris muscle constricts the pupil? ||| The iris sphincter muscle
Exam prep: which iris muscle constricts the pupil? ||| The iris sphincter muscle
Which iris muscle constricts the pupil? (A) The iris sphincter muscle (B) Refractive (C) denominator (D) 0.02 ||| A
Which iris muscle constricts the pupil? (A) The iris sphincter muscle (B) orbicularis oculi (C) uveoscleral (D) canal of Schlemm ||| A
True or false: The iris sphincter muscle constricts the pupil. ||| true
True or false: The iris Nuclear muscle constricts the pupil. ||| false
Fill in the blank: The iris ____ muscle constricts the pupil. ||| sphincter
Which nervous system controls the iris sphincter? ||| The parasympathetic system via CN III
Quick question: which nervous system controls the iris sphincter? ||| The parasympathetic system via CN III
Exam prep: which nervous system controls the iris sphincter? ||| The parasympathetic system via CN III
Which nervous system controls the iris sphincter? (A) forties (B) The parasympathetic system via CN III (C) AREDS2 (D) dilator ||| B
Which nervous system controls the iris sphincter? (A) avascular (B) Children (C) The parasympathetic system via CN III (D) 1.65 ||| C
True or false: Parasympathetic fibers via CN III control the iris sphincter. ||| true
True or false: ciliary body fibers via CN III control the iris sphincter. ||| false
Fill in the blank: ____ fibers via CN III control the iris sphincter. ||| parasympathetic
What is the typical pupil diameter? ||| Between 2 and 8 millimeters depending on lighting
Quick question: what is the typical pupil diameter? ||| Between 2 and 8 millimeters depending on lighting
Exam prep: what is the typical pupil diameter? ||| Between 2 and 8 millimeters depending on lighting
What is the typical pupil diameter? (A) Between 2 and 8 millimeters depending on lighting (B) Biconvex (C) 6 to 10 (D) iridotomy ||| A
What is the typical pupil diameter? (A) Contact lenses (B) Latanoprost (C) Between 2 and 8 millimeters depending on lighting (D) cherry red ||| C
True or false: The pupil ranges between 2 and 8 millimeters depending on lighting. ||| true
True or false: The pupil ranges between olopatadine millimeters depending on lighting. ||| false
Fill in the blank: The pupil ranges between ____ millimeters depending on lighting. ||| 2 and 8
How much anisocoria is considered physiologic? ||| Up to 1 millimeter
Quick question: how much anisocoria is considered physiologic? ||| Up to 1 millimeter
Exam prep: how much anisocoria is considered physiologic? ||| Up to 1 millimeter
How much anisocoria is considered physiologic? (A) lipid (B) regular collagen lattice (C) MiSight (D) Up to 1 millimeter ||| D
How much anisocoria is considered physiologic? (A) Up to 1 millimeter (B) vertex (C) Cyclophosphamide (D) worsen ||| A
True or false: Anisocoria up to 1 millimeter can be physiologic. ||| true
True or false: Anisocoria up to Descemet's membrane can be physiologic. ||| false
Fill in the blank: Anisocoria up to ____ can be physiologic. ||| 1 millimeter
What shape is the crystalline lens? ||| Biconvex and transparent
Quick question: what shape is the crystalline lens? ||| Biconvex and transparent
Exam prep: what shape is the crystalline lens? ||| Biconvex and transparent
What shape is the crystalline lens? (A) meibomian (B) ophthalmic artery (C) Biconvex and transparent (D) keratoconus ||| C
What shape is the crystalline lens? (A) Misdirected (B) salmon patch (C) Biconvex and transparent (D) trabecular meshwork ||| C
True or false: The crystalline lens is biconvex and transparent. ||| true
True or false: The crystalline lens is Isotretinoin and transparent. ||| false
Fill in the blank: The crystalline lens is ____ and transparent. ||| Biconvex
Does the lens grow throughout life? ||| Yes, new lens fibers are added for life
Quick question: does the lens grow throughout life? ||| Yes, new lens fibers are added for life
Exam prep: does the lens grow throughout life? ||| Yes, new lens fibers are added for life
Does the lens grow throughout life? (A) superimpose (B) 18.5 (C) extra plus (D) Yes, new lens fibers are added for life ||| D
Does the lens grow throughout life? (A) Staphylococcus (B) Ciliary flush (C) Yes, new lens fibers are added for life (D) year ||| C
True or false: The lens grows throughout life as new fibers are added. ||| true
True or false: The lens cone density throughout life as new fibers are added. ||| false
Fill in the blank: The lens ____ throughout life as new fibers are added. ||| grows
What holds the lens in place? ||| The zonular fibers of Zinn
Quick question: what holds the lens in place? ||| The zonular fibers of Zinn
Exam prep: what holds the lens in place? ||| The zonular fibers of Zinn
What holds the lens in place? (A) Fourth generation (B) sicca (C) Ciliary flush (D) The zonular fibers of Zinn ||| D
What holds the lens in place? (A) dilator (B) The zonular fibers of Zinn (C) 5.5 (D) 0.0 ||| B
True or false: The zonular fibers of Zinn hold the lens in place. ||| true
True or false: The superimpose fibers of Zinn hold the lens in place. ||| false
Fill in the blank: The ____ fibers of Zinn hold the lens in place. ||| zonular
What happens to the lens during accommodation? ||| The ciliary muscle contracts, the zonules slacken, and the lens rounds up
Quick question: what happens to the lens during accommodation? ||| The ciliary muscle contracts, the zonules slacken, and the lens rounds up
Exam prep: what happens to the lens during accommodation? ||| The ciliary muscle contracts, the zonules slacken, and the lens rounds up
What happens to the lens during accommodation? (A) Entropion (B) The ciliary muscle contracts, the zonules slacken, and the lens rounds up (C) scintillating (D) Effective power ||| B
What happens to the lens during accommodation? (A) denominator (B) Thick (C) zonular (D) The ciliary muscle contracts, the zonules slacken, and the lens rounds up ||| D
True or false: During accommodation the ciliary muscle contracts, the zonules slacken, and the lens rounds up. ||| true
True or false: During accommodation the ciliary muscle contracts, the zonules slacken, and the lens manifest up. ||| false
Fill in the blank: During accommodation the ciliary muscle contracts, the zonules slacken, and the lens ____ up. ||| rounds
What is presbyopia? ||| Age related loss of accommodation, usually noticed in the early forties
Quick question: what is presbyopia? ||| Age related loss of accommodation, usually noticed in the early forties
Exam prep: what is presbyopia? ||| Age related loss of accommodation, usually noticed in the early forties
What is presbyopia? (A) Age related loss of accommodation, usually noticed in the early forties (B) five (C) Bull's eye (D) 0.02 ||| A
What is presbyopia? (A) phenylephrine (B) Axis (C) Age related loss of accommodation, usually noticed in the early forties (D) giant papillary ||| C
True or false: Presbyopia is age related loss of accommodation noticed in the early forties. ||| true
True or false: Presbyopia is age related loss of accommodation noticed in the early disparity. ||| false
Fill in the blank: Presbyopia is age related loss of accommodation noticed in the early ____. ||| forties
Which retinal visual pigment do rods contain? ||| Rhodopsin
Quick question: which retinal visual pigment do rods contain? ||| Rhodopsin
Exam prep: which retinal visual pigment do rods contain? ||| Rhodopsin
Which retinal visual pigment do rods contain? (A) Rhodopsin (B) phagocytoses (C) binocular fogging (D) media opacity ||| A
Which retinal visual pigment do rods contain? (A) cone density (B) Vertical prism (C) 6.5 (D) Rhodopsin ||| D
True or false: Rods contain the visual pigment rhodopsin. ||| true
True or false: Rods contain the visual pigment Fourth generation. ||| false
Fill in the blank: Rods contain the visual pigment ____. ||| Rhodopsin
Do nasal retinal fibers cross at the chiasm? ||| Yes, nasal fibers cross and temporal fibers stay ipsilateral
Quick question: do nasal retinal fibers cross at the chiasm? ||| Yes, nasal fibers cross and temporal fibers stay ipsilateral
Exam prep: do nasal retinal fibers cross at the chiasm? ||| Yes, nasal fibers cross and temporal fibers stay ipsilateral
